seq,firstname,lastname,age,street,city,state,zip,dollar,pick,date
149,Dylan,Rodriquez,54,Ogpi View,Ufaubivo,OK,28177,$33.66,RED,11/21/2060
150,Essie,Barrett,56,Goba Mill,Cuuzjah,NE,32749,$6833.29,GREEN,04/14/2043
151,Maud,Ryan,48,Ukemo River,Fitooru,UT,19267,$3672.62,GREEN,11/04/2033
152,Eunice,Ball,27,Fiblu Terrace,Sajuse,NC,71486,$4969.18,WHITE,06/03/1911
153,Callie,Aguilar,41,Binic Way,Dabiwbi,AR,34597,$9177.83,GREEN,09/02/1909
154,Cody,Luna,27,Eczo Loop,Mefeza,NE,44753,$4917.68,YELLOW,07/24/1949
155,Jeffery,Hunter,60,Necul Glen,Agawire,IA,12880,$1207.80,RED,04/16/1940
156,Cornelia,Newton,49,Zeszej Highway,Itaikhaz,AL,90635,$2503.08,GREEN,08/21/1976
157,Jeffrey,Bates,46,Sama Road,Foalamer,IA,93887,$3916.52,GREEN,07/19/2029
158,Shane,Hanson,26,Kantib Parkway,Urufafi,AZ,18338,$1618.59,BLUE,09/08/1901
159,Harry,Williams,24,Dajrol Key,Esjudi,AK,48776,$4938.34,YELLOW,08/06/1916
160,Louise,Wheeler,37,Harnug Turnpike,Hifiuc,HI,19681,$640.85,RED,04/16/2021
161,Gussie,Miller,51,Lichot Center,Ibjamhut,AL,36115,$3736.96,RED,01/27/1932
162,Max,Adams,27,Pano Place,Possabgen,AK,86278,$7373.55,GREEN,05/16/2016
163,Winnie,Reyes,45,Vutnal Plaza,Ofecled,ND,36181,$8020.69,BLUE,03/03/2021
164,Eliza,Nichols,36,Ubmon Trail,Etdujmo,MI,64639,$3652.99,GREEN,01/10/1917
165,Vera,Figueroa,32,Resu Terrace,Eweudeugu,MN,21556,$106.75,RED,10/31/1912
166,Lulu,Yates,35,Nagod Way,Jitmawmis,MA,99822,$4407.88,BLUE,03/18/1968
167,William,Burke,63,Kovo Extension,Hewize,NJ,31992,$7852.40,RED,03/12/1976
168,Antonio,Boyd,22,Bovec Center,Puclohge,IN,39394,$8602.58,RED,11/26/1925
169,Mattie,Garcia,65,Jefi Parkway,Siekin,CA,03970,$1465.49,GREEN,06/23/2051
170,Lucile,Williamson,23,Ojiwe Park,Nadnihot,CA,30610,$6055.23,BLUE,11/23/1928
171,Minerva,Schmidt,32,Huvbob Ridge,Mewajsid,MO,52329,$6343.03,GREEN,12/25/1910
172,Charlotte,Blair,48,Vimame Terrace,Cujegu,OH,73040,$7256.96,BLUE,04/19/2046
173,Kenneth,Bush,27,Suni Manor,Mihosja,WI,17026,$4960.82,YELLOW,01/31/2035
174,Marvin,Simon,51,Teegi Extension,Esinorep,MI,70574,$2792.47,WHITE,06/29/2008
175,Roger,Haynes,52,Mudhoc Street,Beumzil,KS,33736,$2984.36,RED,12/22/2047
176,Evelyn,Mathis,61,Ozhu Lane,Sizgokwic,VA,93958,$3616.56,RED,12/03/1972
177,Emma,Sanders,22,Ticga Pike,Igebefuva,ME,30253,$7971.41,YELLOW,10/10/1907
178,Clayton,George,27,Udeuvu Parkway,Tufuhap,NH,86363,$8842.15,RED,06/15/1969
179,Joseph,Guzman,24,Limi View,Giepkus,PA,31473,$465.87,BLUE,05/09/1957
180,Raymond,Hansen,34,Pewi Lane,Ducjorbaw,NM,13077,$5268.70,BLUE,08/22/2012
181,Gilbert,Stevenson,52,Ojudi Trail,Riizew,MT,65952,$6643.70,BLUE,04/02/1920
182,Mathilda,Ortiz,20,Lalso Street,Vuizusu,IA,15703,$8388.28,GREEN,08/27/1956
183,Minnie,Mack,19,Apne Circle,Meezfi,LA,81618,$7711.99,RED,11/04/2053
184,Julian,Clarke,53,Vaju Lane,Iloocupo,IN,45600,$6485.09,YELLOW,07/22/2060
185,Max,Harrington,45,Wobu Trail,Tegakhef,MN,53126,$9055.43,GREEN,11/14/1996
186,Timothy,Salazar,24,Jika Drive,Fawbablul,SD,70060,$6200.93,YELLOW,01/27/1921
187,Louise,Atkins,58,Uzrud Point,Cuzmijuf,DC,47107,$6918.07,RED,12/30/2037
188,Danny,Barnett,19,Fipma Heights,Piferub,IA,40301,$2435.06,RED,05/07/2061
189,Cody,Burns,28,Ajfir Boulevard,Polzulwub,AR,96871,$8462.38,BLUE,10/18/1958
190,Maud,Pena,64,Ohugup Manor,Vahufu,ID,09416,$7399.63,BLUE,09/30/2056
191,Richard,Clark,26,Lipce Street,Cacvatej,AL,41829,$1482.42,GREEN,10/11/2055
192,Rosie,Rodriguez,48,Osim Avenue,Hijofura,VA,11768,$7071.25,YELLOW,02/22/2043
193,Nina,Hunt,49,Nugog Place,Ofguvu,NM,81954,$1274.91,WHITE,11/29/2041
194,Alberta,Knight,41,Cojuw Point,Tufihawo,WY,09891,$7433.53,GREEN,10/31/1926
195,Ricky,Singleton,21,Imipa Square,Geotipiv,MD,69939,$8907.15,RED,09/17/1930
196,Eugenia,Pratt,36,Ebbut Key,Baosnol,DE,10503,$1758.88,WHITE,07/14/2039
197,Shane,Brady,26,Libuse Place,Wonekduk,NY,34446,$3687.70,GREEN,11/25/2067
198,Zachary,Holmes,32,Opoed Circle,Hacigojad,WI,07159,$3386.10,BLUE,01/05/1926
199,Bessie,Mason,38,Vevfe Street,Nivukko,ID,78137,$8476.98,WHITE,12/25/1935
200,Tony,Hogan,52,Rutza Manor,Sovizo,TN,71171,$5267.51,WHITE,11/08/1936
201,Lelia,Adams,50,Caci Road,Susmugko,NV,84810,$7550.67,WHITE,05/21/1987
202,Peter,Burton,55,Bendu Boulevard,Wobrolev,AR,78786,$8732.61,BLUE,09/29/2067
203,Essie,Dennis,51,Ozman Park,Anvovlep,VA,05741,$1658.27,RED,08/26/2066
204,Roy,Wallace,42,Pajim Square,Nigomerur,ME,62045,$887.28,WHITE,01/05/2057
205,Winifred,Sutton,41,Futoc Point,Hobemi,GA,57852,$5567.47,RED,03/08/2001
206,Lottie,Cox,27,Lena Avenue,Rouwosu,MI,66288,$8834.36,WHITE,08/22/2064
207,Katharine,Cummings,51,Zaeva Mill,Nacbebi,AK,26750,$1753.64,RED,06/13/1938
208,Charles,Barnes,65,Zesed Way,Uhejedan,MD,31836,$5489.02,YELLOW,10/31/1988
209,Alexander,Mendez,37,Putu River,Nukafdo,UT,73879,$9933.75,YELLOW,08/23/1935
210,Gavin,Miller,47,Lunju Square,Bebfejow,OH,46911,$3187.78,BLUE,04/03/2066
211,Robert,Sparks,53,Nade Boulevard,Cigbelpon,MO,32008,$4529.16,YELLOW,10/22/1918
212,Charles,Sanders,36,Doseb Extension,Habisej,WV,95526,$7779.31,WHITE,04/01/1964
213,Blake,Snyder,45,Bunake Loop,Hebite,VT,96764,$7730.29,YELLOW,11/06/2067
214,Arthur,Ferguson,36,Nufud Plaza,Etesaceg,MI,42370,$5527.37,GREEN,06/18/1902
215,Jimmy,Castro,21,Woduv Park,Limuku,VT,42729,$2957.94,WHITE,02/09/2036
216,Winifred,Sherman,23,Fewo Place,Wapiic,MI,54362,$8705.38,GREEN,02/17/1940
217,Benjamin,Dixon,55,Keta Loop,Fotecek,MI,61032,$3998.65,WHITE,11/14/2011
218,Maude,Fox,34,Cirpu Street,Lofecawu,NJ,61397,$1261.71,YELLOW,05/17/1918
219,Charles,Carson,57,Natek Pike,Nazugaw,NM,59794,$5059.71,GREEN,07/24/1964
220,Cory,Soto,34,Oclep Boulevard,Dofipan,OK,12678,$9367.46,WHITE,09/08/1923
221,Lena,Luna,28,Zubahe Terrace,Ziuroli,AZ,12099,$7158.39,YELLOW,01/26/1957
222,Victoria,Hardy,62,Rodrag Square,Lajeoko,RI,64731,$2499.02,BLUE,12/27/2038
223,Jean,Norton,49,Sildas Court,Kilijfal,WA,37180,$8965.75,RED,12/14/2043
224,Hester,Guzman,22,Bezfub Pike,Vepopti,GA,09287,$5186.61,WHITE,01/19/1953
225,Inez,Sherman,40,Uvuha Road,Osiejohe,WA,89050,$4549.18,BLUE,10/03/2055
226,Vernon,Anderson,31,Jave Highway,Sojdurog,ID,56014,$8122.84,YELLOW,08/27/1992
227,Amy,Gilbert,59,Jilba Plaza,Luzofoh,MD,45405,$6440.07,WHITE,03/30/1958
228,Elva,Clark,32,Mifta Turnpike,Mecuzi,SC,40402,$8314.11,WHITE,02/19/2035
229,Lena,Soto,50,Jiuv Junction,Lejzifa,NE,78705,$7634.51,YELLOW,05/17/1970
230,Francis,Jefferson,35,Zozud Plaza,Mimoto,OH,64519,$4524.55,BLUE,02/22/2063
231,Steven,George,45,Hegag Road,Sifhewuk,CO,20250,$5410.48,YELLOW,12/25/1996
232,Aiden,Phelps,25,Hantab Trail,Agaropjuj,WV,58400,$2749.40,GREEN,12/03/1950
233,Theresa,Hampton,54,Bowe Mill,Zaehara,WV,33630,$9993.77,YELLOW,04/12/1933
234,Isabel,Erickson,45,Sovita Plaza,Ilekiov,HI,20814,$7842.40,RED,05/06/1954
235,Troy,Wilkins,46,Lipo Plaza,Litpehot,KS,65915,$5238.21,GREEN,11/10/2045
236,Jeff,Murphy,39,Tido Glen,Bidrawul,MI,89706,$8386.64,YELLOW,10/17/1941
237,Violet,Ford,60,Ibesiz Plaza,Ofpovo,MN,92013,$1712.67,RED,08/05/1917
238,Nathan,Sparks,37,Wovos Square,Hebbafwak,FL,78938,$4045.23,WHITE,05/21/1932
239,Eula,Cohen,23,Hivguz Pass,Upoepeli,HI,17665,$7542.90,YELLOW,01/16/2027
240,Janie,Frank,36,Kowwip Turnpike,Neacilij,WA,96493,$5699.34,BLUE,04/09/2005
241,Todd,Keller,64,Vuepa Grove,Evwuruka,AL,25418,$8541.02,WHITE,01/13/1938
242,Willie,Evans,55,Esruh Extension,Pugavwo,AR,73555,$8262.23,WHITE,02/24/1999
243,Peter,Lambert,55,Ihiok Center,Hippuor,DE,68950,$2825.07,RED,08/11/2060
244,Lenora,Spencer,21,Bado Pike,Jujvatla,CO,49897,$660.87,BLUE,12/23/2011
245,Ina,Blair,65,Hihmaw Court,Mizeev,CT,99081,$9767.64,BLUE,09/09/1905
246,Sadie,Schultz,53,Mavo Highway,Detilened,CA,26777,$9416.32,BLUE,03/21/1999
247,Leo,Watts,26,Ofuge Lane,Gazerauka,SD,19167,$3561.53,BLUE,12/29/2001
248,Joshua,Frank,53,Awuset Terrace,Peewda,ME,07521,$546.28,YELLOW,03/08/2012
249,Carlos,Wade,64,Cuhuf Ridge,Mickajud,IL,22025,$6067.06,GREEN,03/15/2041
250,Elmer,Carpenter,58,Liusi Trail,Juludiar,MI,90144,$5386.90,GREEN,07/28/1958
251,David,Griffith,49,Zita Pass,Kouvemij,MO,87778,$3377.13,WHITE,01/03/1939
252,Jim,Morris,44,Lufar Place,Catowowo,WA,85164,$7627.13,GREEN,03/31/1977
253,Alice,Duncan,21,Ugri Key,Pualeus,MI,12750,$5092.23,GREEN,12/21/2061
254,Olivia,Elliott,19,Amocup Trail,Vikouc,FL,71403,$9327.49,GREEN,10/02/1924
255,Mabel,Aguilar,60,Facpat Avenue,Gozajto,MT,23463,$4211.86,RED,01/23/1945
256,Leonard,McKinney,56,Tikez Square,Raarafa,SD,35272,$8041.17,YELLOW,01/03/1986
257,Anthony,Bishop,59,Ducku Drive,Subeplam,AK,67328,$5697.73,BLUE,08/16/1910
258,Eula,Daniel,23,Edait Turnpike,Wecalmov,AL,68641,$8945.45,GREEN,07/03/2035
259,Jordan,Lopez,48,Azuli Drive,Kocgohha,ID,40229,$418.64,GREEN,07/06/2013
260,Derek,Sandoval,56,Dibboc Path,Fowadzo,OR,59429,$1838.86,YELLOW,11/10/1964
261,Gary,Howard,19,Gihle Junction,Bibkigur,CA,05784,$2351.72,BLUE,11/04/2010
262,Jason,Spencer,56,Suva Terrace,Enmildah,ID,06899,$6298.97,RED,03/08/1989
263,Rena,Weaver,21,Zednuh Center,Lehinoh,CA,94451,$8968.92,YELLOW,01/11/2025
264,Marcus,Wheeler,42,Deoki Court,Vuhzozha,CA,65696,$1101.87,GREEN,06/20/1992
265,Lucas,Higgins,54,Raok Heights,Buzure,NH,55462,$1143.79,GREEN,04/19/2019
266,Louis,Perry,20,Nujpi River,Empudjoz,PA,09975,$6533.41,WHITE,09/19/1921
267,Clyde,Fitzgerald,36,Jafga Square,Nuluroege,ND,05381,$9767.37,WHITE,09/21/2037
268,Grace,Harrington,44,Giehe Drive,Meocbud,AL,34244,$4719.90,RED,10/08/1982
